                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5997,                 4.0762,                   4.25,                0.00438,                      1,                0.04385,                0.01327,                 2.5489,                 3.8996,                 4.1603,             0.00015003,             0.00015003,             0.00015003
                      2,                 3.5914,                 4.0357,                  4.195,                0.00445,                      1,                0.01862,                0.00691,                 2.5444,                 3.9115,                  4.161,             0.00031046,             0.00031046,             0.00031046
                      3,                 3.5596,                 3.8408,                 4.1312,                0.00457,                      1,                0.01985,                0.00707,                 2.5653,                 3.9115,                 4.1652,             0.00046429,             0.00046429,             0.00046429
                      4,                 3.3773,                 3.5809,                 4.0393,                0.00459,                      1,                0.01452,                0.00443,                 2.8426,                 3.9342,                 4.2114,             0.00061151,             0.00061151,             0.00061151
                      5,                 3.3622,                 3.3746,                 3.8711,                0.00254,                0.39669,                0.00457,                0.00064,                  3.927,                 4.1025,                 4.5807,             0.00075214,             0.00075214,             0.00075214
                      6,                 3.2332,                 3.1648,                 3.6758,                  5e-05,                0.00826,                  3e-05,                  1e-05,                 4.8863,                 4.7854,                 5.4803,             0.00088616,             0.00088616,             0.00088616
                      7,                 3.1301,                 3.0711,                 3.5455,                0.00077,                0.10744,                0.00061,                 0.0001,                 4.2833,                 4.0009,                 5.6899,              0.0010136,              0.0010136,              0.0010136
                      8,                 3.0699,                 3.0953,                 3.4275,                0.00033,                0.04959,                0.00028,                  4e-05,                 4.4675,                 4.0491,                 6.1244,              0.0011344,              0.0011344,              0.0011344
                      9,                 2.9498,                 2.9961,                 3.3409,                0.00694,                 0.7686,                 0.0158,                0.00241,                 3.5739,                 3.8118,                 4.3187,              0.0012486,              0.0012486,              0.0012486
                     10,                 2.9119,                 2.9674,                 3.3253,                0.00694,                 0.7686,                 0.0158,                0.00241,                 4.4093,                 21.258,                 10.628,              0.0013562,              0.0013562,              0.0013562
                     11,                 2.8478,                 2.9365,                 3.2328,                0.00208,                0.40496,                 0.0015,                0.00047,                 3.5147,                 10.867,                 4.5005,              0.0013369,              0.0013369,              0.0013369
                     12,                 2.7709,                 2.8708,                 3.0711,                0.00256,                 0.4876,                0.00192,                0.00041,                  3.289,                 9.0304,                  4.211,              0.0013369,              0.0013369,              0.0013369
                     13,                 2.7024,                  2.907,                 3.1103,                0.00045,                0.08264,                0.00024,                  5e-05,                 4.0733,                 16.739,                 4.4384,              0.0013039,              0.0013039,              0.0013039
                     14,                 2.6354,                 2.8405,                  3.044,                  4e-05,                0.00826,                  2e-05,                      0,                 3.4093,                 27.004,                 4.2645,              0.0012709,              0.0012709,              0.0012709
                     15,                 2.6688,                 2.8065,                 3.0513,                  4e-05,                0.00826,                  2e-05,                      0,                 3.0996,                 21.491,                 4.2193,              0.0012379,              0.0012379,              0.0012379
                     16,                 2.5709,                 2.7898,                 2.9772,                  4e-05,                0.00826,                  2e-05,                      0,                 2.8144,                  15.91,                 4.6142,              0.0012049,              0.0012049,              0.0012049
                     17,                 2.5244,                 2.7013,                 2.9131,                  4e-05,                0.00826,                  2e-05,                      0,                  2.829,                 13.654,                 4.4014,              0.0011719,              0.0011719,              0.0011719
                     18,                 2.4992,                 2.6722,                 2.8549,                  4e-05,                0.00826,                  2e-05,                      0,                 3.0359,                 11.473,                 4.2736,              0.0011389,              0.0011389,              0.0011389
                     19,                 2.5175,                 2.6477,                 2.8204,                0.00011,                0.01653,                  6e-05,                  1e-05,                 3.8858,                 13.541,                 4.5722,              0.0011059,              0.0011059,              0.0011059
